地铁口 精装 全明通透 高得房率 南北双阳台 换房急售 2室2厅 | 90.76㎡ | 低层 （共11层） | 东南向 | 2009年建 | 孔倩 大地伊丽雅特湾 迈皋桥-和燕路329号 满五 优质教育 距1号线晓庄站约933米 185 万 20383元/㎡
地铁口 精装 全明通透 低密花园洋房 换房降价急售 3室2厅 | 130.64㎡ | 中层 （共11层） | 南北向 | 2022年建 | 孔倩 仁恒公园世纪 燕子矶-燕园路37号 满二 距1号线笆斗山站约634米 426 万 32608元/㎡
6号线7号线地铁口燕子矶新城宝龙广场 正荣江悦润府现房 3室2厅 | 89㎡ | 低层 （共26层） | 南向 | 吴苑 栖霞江悦润府 栖霞-仙新路与栖霞大道交叉口西北 距7号线仙新路站约1173米 190 万 21348元/㎡
特价 保利紫晶山新空毛坯 满三年诚售看房方便 双重验真 官方发布 房天下房源字典核验 4室2厅 | 170.08㎡ | 中层 （共6层） | 南北向 | 2010年建 | 孟全 保利紫晶山 仙鹤门-栖霞区马群大庄6号 满二 优质教育 距2号线仙鹤门站约444米 550 万 32337元/㎡ 低于市场价42万
特价 人气 万科燕语光年您不二的选择! 3室1厅 | 117.53㎡ | 中层 （共34层） | 南向 | 2000年建 | 凌晓伟 万科·燕语光年 迈皋桥-栖霞大道与燕园路交汇处 满五 390 万 33183元/㎡ 低于市场价12万
特价 仙林 · 学仕风华苑 · 2室 · 2厅 双重验真 官方发布 房天下房源字典核验 2室2厅 | 91.49㎡ | 顶层 （共6层） | 南北向 | 2009年建 | 孟全 仙林诚品城 仙林-仙境路29号 满五 168 万 18362元/㎡ 低于市场价18万
招商紫金山1号 紫金尚园 套内350平 毛坯边户 大阳台 5室2厅 | 312㎡ | 中层 （共10层） | 南北向 | 2012年建 | 易功瑞 招商紫金山1号 马群-环陵路99号 满五 满五唯一 优质教育 距2号线马群站约109米 830 万 26602元/㎡
慕燕风光带 高得房率 全明通透 大三房 低密度仁恒品质 3室2厅 | 130.64㎡ | 中层 （共11层） | 南北向 | 2022年建 | 孔倩 仁恒公园世纪 燕子矶-燕园路37号 满二 距1号线笆斗山站约634米 442 万 33833元/㎡
地铁口 精装 全明通透 高得房率 科技宅 双阳台换 4室2厅 | 142.81㎡ | 高层 （共33层） | 南北向 | 2020年建 | 孔倩 保利朗诗蔚蓝 迈皋桥-保利朗诗蔚蓝 满二 距1号线晓庄站约582米 395 万 27659元/㎡
热搜 地铁口 开发商精装低密度 全明通透 换房急售 急售 3室2厅 | 124.41㎡ | 高层 （共18层） | 南北向 | 2022年建 | 孔倩 万象天地·四季 迈皋桥-燕子矶新城栖霞大道与经五路交汇处 满二 距7号线万寿站约556米 396 万 31830元/㎡
精装修带露台,舒适阳光房,满五年,南北通格局! 4室2厅 | 133.14㎡ | 中层 （共33层） | 南北向 | 2020年建 | 孔倩 保利国际社区 燕子矶-燕子矶街道太新路与燕园路交汇处 满二 距1号线笆斗山站约506米 316 万 23734元/㎡
特价 栖霞区仙林东方天郡西区两房诚心出售视野开阔 双重验真 官方发布 房天下房源字典核验 2室1厅 | 69.89㎡ | 中层 （共17层） | 南向 | 2008年建 | 孟全 东方天郡 仙林-仙林大学城杉湖西路8号 满五 优质教育 距2号线学则路站约582米 199 万 28473元/㎡ 低于市场价58万
急急 迈皋桥地铁1号线 二十九中 林景瑞园 3室2厅 | 115.15㎡ | 中层 （共11层） | 南向 | 2007年建 | 夏菊 林景瑞园 迈皋桥-栖霞区和燕路319号 满五 优质教育 距1号线晓庄站约1001米 280 万 24316元/㎡
仙林 · 茶苑 · 2室 · 2厅 双重验真 官方发布 房天下房源字典核验 2室2厅 | 83.6㎡ | 中层 （共5层） | 南北向 | 2005年建 | 孟全 仙林南师茶苑 仙林-仙林文苑路1号 满五 优质教育 225 万 26913元/㎡
南京尧化门仙林 保利现房 精装带学.区 刚需89平楼层好 3室2厅 | 85㎡ | 低层 （共26层） | 南向 | 2023年建 | 廖斯敏 中交保利·翠语江岚 栖霞-东至规划观江路, 南至规划江南路 115 万 13529元/㎡
特价 金马路钟山晶典 ·精装修 诚售 看房方便 双重验真 官方发布 房天下房源字典核验 3室2厅 | 121.73㎡ | 低层 （共15层） | 南北向 | 2010年建 | 李雪 国浩钟山晶典 仙鹤门-金马路19号 满五 距2号线金马路站约683米 268 万 22015元/㎡ 低于市场价30万
万象天地九悦 低密度洋房 地铁口 得房率高 新空 4室2厅 | 124.09㎡ | 中层 （共11层） | 南北向 | 2022年建 | 孔倩 万象天地·九悦 迈皋桥-燕子矶新城栖霞大道与经五路交汇处 满二 距7号线万寿站约557米 446 万 35941元/㎡
别样的格调,低价的房源,你还有什么好犹豫的呢! 4室2厅 | 128㎡ | 中层 （共33层） | 南向 | 2000年建 | 黄朋飞 中海燕矶听潮 燕子矶-燕子矶新城经五路与太新路交汇处 满五 距1号线笆斗山站约1061米 349 万 27265元/㎡
报价可谈!万象天地 小高层 低密度 一梯两户 精装交付 3室1厅 | 98.25㎡ | 底层 （共11层） | 南向 | 2018年建 | 戚亮辉 华发华润置地万象天地 迈皋桥-栖霞大道与经五路(燕城大道)交汇处 满二 距7号线万寿站约182米 358 万 36437元/㎡
特价 热搜 人气 好楼层,足不出户就找到好房! 3室2厅 | 88.19㎡ | 高层 （共20层） | 南向 | 2000年建 | 凌晓伟 金浦御龙湾 迈皋桥-金浦御龙湾 满五 距1号线晓庄站约644米 225 万 25513元/㎡ 低于市场价46万
中垠紫金观邸平层边户大三房 楼层好 不靠绕城 诚售 有钥匙 4室2厅 | 122.24㎡ | 高层 （共14层） | 南北向 | 2018年建 | 易功瑞 中垠紫金观邸 马群-马群环陵路99号(马群综合换乘中心) 满五 距2号线马群站约365米 310 万 25359元/㎡
地铁7号线商品房 华润幸福里 次新房精装修 120多可卖 2室1厅 | 81.16㎡ | 低层 （共18层） | 南向 | 吴彩娣 华润幸福里 尧化-尧化街道前塘路9号(翠林北路与前塘路交汇处) 满五 距7号线仙新路站约636米 133 万 16387元/㎡
特价 人气 热销好房,全优的生活配套,环境绝佳优美 3室1厅 | 89.44㎡ | 中层 （共32层） | 南向 | 2000年建 | 凌晓伟 万科·燕语光年 迈皋桥-栖霞大道与燕园路交汇处 满五 270 万 30187元/㎡ 低于市场价36万
特价 仙林湖 新城香悦澜山精装四房 南北通透满二金陵中小业主诚售 双重验真 官方发布 房天下房源字典核验 4室2厅 | 100.24㎡ | 低层 （共25层） | 南向 | 2016年建 | 孟全 新城香悦澜山 仙林-仙林经天路与纬地路交汇处 满五 优质教育 距2号线经天路站约1158米 228 万 22745元/㎡ 低于市场价45万
中海燕矶听潮 128.42平4居 南向简装修 方便看房 4室2厅 | 128.42㎡ | 低层 （共33层） | 南向 | 2020年建 | 黄朋飞 中海燕矶听潮 燕子矶-燕子矶新城经五路与太新路交汇处 满二 距1号线笆斗山站约1061米 331 万 25774元/㎡
折扣大 零首付 栖霞兴智 双地铁 新生圩宝龙广场 精装交付 3室2厅 | 89㎡ | 中层 （共20层） | 南北向 | 2021年建 | 廖斯敏 新生圩宝龙广场 栖霞-南京市栖霞区仙新路与恒发路交汇处 满二 距7号线仙新路站约1055米 150 万 16853元/㎡
特价 报价可谈!燕子矶低密洋房,仁恒公园世纪,一号线旁,精装大三房 3室2厅 | 130.62㎡ | 中层 （共11层） | 南向 | 2018年建 | 姜成 仁恒公园世纪 燕子矶-燕园路37号 满二 距1号线笆斗山站约634米 488 万 37360元/㎡ 低于市场价26万
燕子矶新城 6号线兴学路站200米精装三房 自带会所 金中 3室2厅 | 89㎡ | 中层 （共25层） | 南北向 | 2023年建 | 李小朋 金地都会峯范 万寿-金地都会峯范 180 万 20224元/㎡
人气 仙林南邮旁 高科荣域 精装三房 品质小区 诚心卖 双重验真 官方发布 房天下房源字典核验 3室2厅 | 125.95㎡ | 中层 （共6层） | 南北向 | 2014年建 | 孟全 高科荣域 仙林-仙林大学城文澜路与仙境路交叉口向西100米 满二 450 万 35728元/㎡
特价 仙林 · 中天铭廷 · 4室 · 2厅 双重验真 官方发布 房天下房源字典核验 4室2厅 | 125.07㎡ | 顶层 （共18层） | 南北向 | 2015年建 | 孟全 中天铭廷 仙林-文成路3号(学海路和文成路交汇处) 满五 335 万 26785元/㎡ 低于市场价12万
马群金马路2号4号线 语山 精装修 采光 有钥匙随时看 4室2厅 | 112.39㎡ | 中层 （共6层） | 南北向 | 2018年建 | 张磊 世茂招商语山 仙鹤门-世茂招商语山 满五 距2号线金马路站约730米 320 万 28472元/㎡
金浦花园洋房 带200平米大院子 豪装100万 急售急售 5室3厅 | 245.55㎡ | 底层 （共7层） | 南北向 | 2020年建 | 孔倩 金浦御龙湾 迈皋桥-金浦御龙湾 满二 距1号线晓庄站约644米 685 万 27896元/㎡
热搜 人气 金浦御龙湾 城北正核 配套成熟 晓庄口 性价比必看盘 3室2厅 | 112㎡ | 中层 （共30层） | 南北向 | 2023年建 | 陈群芳 金浦御龙湾 迈皋桥-金浦御龙湾 距1号线晓庄站约644米 349 万 31160元/㎡
栖霞区 仙林湖 融信世纪东方3室2厅 3室2厅 | 99.59㎡ | 高层 （共18层） | 南向 | 2020年建 | 邓婷婷 融信世纪东方 仙林-经天路与广志路交汇处(南京大学仙林分校旁) 满二 距2号线经天路站约1057米 258 万 25906元/㎡
人气 燕子矶 中海燕矶听潮A区 3居 南北向精装修 采光通透 诚心 3室2厅 | 101.42㎡ | 顶层 （共30层） | 南北向 | 2020年建 | 钱俊马 中海燕矶听潮 燕子矶-燕子矶新城经五路与太新路交汇处 满二 距1号线笆斗山站约1061米 235 万 23170元/㎡
人气 地铁口 三开间 全明通透 高得房率 换房急售急 3室2厅 | 88.53㎡ | 中层 （共33层） | 南向 | 2020年建 | 孔倩 保利国际社区 燕子矶-燕子矶街道太新路与燕园路交汇处 满二 距1号线笆斗山站约506米 195 万 22026元/㎡
仙林湖商圈 单价7000多 小区高大上环境优雅 枫霞雅苑 2室1厅 | 69.77㎡ | 低层 （共27层） | 南向 | 吴彩娣 枫霞雅苑 仙林-枫霞雅苑 54 万 7739元/㎡
